,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height
32,layer2.0.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
33,layer2.0.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
34,layer2.0.downsample.0,256  56  56,512  28  28,131072,1.53,"205,119,488.00","102,760,448.00",3735552,1605632,2.52%,5341184,1.53,56
35,layer2.0.downsample.1,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
36,layer2.1.conv1,512  28  28,128  28  28,65536,0.38,"102,660,096.00","51,380,224.00",1867776,401408,1.26%,2269184,1.53,28
37,layer2.1.bn1,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
38,layer2.1.conv2,128  28  28,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",991232,401408,1.92%,1392640,0.383,28
39,layer2.1.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
40,layer2.1.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,1.69%,2269184,0.383,28
41,layer2.1.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.84%,3215360,1.53,28
42,layer2.1.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
43,layer2.2.conv1,512  28  28,128  28  28,65536,0.38,"102,660,096.00","51,380,224.00",1867776,401408,1.68%,2269184,1.53,28
44,layer2.2.bn1,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
45,layer2.2.conv2,128  28  28,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",991232,401408,0.84%,1392640,0.383,28
46,layer2.2.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
47,layer2.2.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.85%,2269184,0.383,28
48,layer2.2.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.83%,3215360,1.53,28
49,layer2.2.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
50,layer2.3.conv1,512  28  28,128  28  28,65536,0.38,"102,660,096.00","51,380,224.00",1867776,401408,0.84%,2269184,1.53,28
51,layer2.3.bn1,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
52,layer2.3.conv2,128  28  28,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",991232,401408,0.84%,1392640,0.383,28
53,layer2.3.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
54,layer2.3.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.84%,2269184,0.383,28
55,layer2.3.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
56,layer2.3.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
57,layer3.0.conv1,512  28  28,256  28  28,131072,0.77,"205,320,192.00","102,760,448.00",2129920,802816,1.68%,2932736,1.53,28
58,layer3.0.bn1,256  28  28,256  28  28,512,0.77,"802,816.00","401,408.00",804864,802816,0.00%,1607680,0.765,28
59,layer3.0.conv2,256  28  28,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",3162112,200704,1.68%,3362816,0.765,28
60,layer3.0.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
61,layer3.0.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,1.68%,2052096,0.191,14
62,layer3.0.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
63,layer3.0.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
64,layer3.0.downsample.0,512  28  28,1024  14  14,524288,0.77,"205,320,192.00","102,760,448.00",3702784,802816,2.52%,4505600,0.765,28
65,layer3.0.downsample.1,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
66,layer3.1.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.84%,2052096,0.765,14
67,layer3.1.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
68,layer3.1.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,1.68%,2760704,0.191,14
69,layer3.1.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
70,layer3.1.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.84%,2052096,0.191,14
71,layer3.1.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.84%,1613824,0.765,14
72,layer3.1.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
73,layer3.2.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.84%,2052096,0.765,14
74,layer3.2.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
75,layer3.2.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.85%,2760704,0.191,14
76,layer3.2.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
77,layer3.2.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.00%,2052096,0.191,14
78,layer3.2.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,1.23%,1613824,0.765,14
79,layer3.2.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
80,layer3.3.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,1.29%,2052096,0.765,14
81,layer3.3.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
82,layer3.3.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.85%,2760704,0.191,14
83,layer3.3.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
84,layer3.3.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.84%,2052096,0.191,14
85,layer3.3.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
86,layer3.3.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
87,layer3.4.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,1.68%,2052096,0.765,14
88,layer3.4.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
89,layer3.4.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,1.68%,2760704,0.191,14
90,layer3.4.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
91,layer3.4.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.84%,2052096,0.191,14
92,layer3.4.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
93,layer3.4.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
94,layer3.5.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,1.50%,2052096,0.765,14
95,layer3.5.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
96,layer3.5.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,1.46%,2760704,0.191,14
97,layer3.5.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
98,layer3.5.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.88%,2052096,0.191,14
99,layer3.5.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.94%,1613824,0.765,14
100,layer3.5.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
101,layer4.0.conv1,1024  14  14,512  14  14,524288,0.38,"205,420,544.00","102,760,448.00",2899968,401408,2.11%,3301376,0.765,14
102,layer4.0.bn1,512  14  14,512  14  14,1024,0.38,"401,408.00","200,704.00",405504,401408,0.00%,806912,0.382,14
103,layer4.0.conv2,512  14  14,512   7   7,2359296,0.1,"231,185,920.00","115,605,504.00",9838592,100352,3.36%,9938944,0.382,14
104,layer4.0.bn2,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
105,layer4.0.conv3,512   7   7,2048   7   7,1048576,0.38,"102,660,096.00","51,380,224.00",4294656,401408,1.68%,4696064,0.096,7
106,layer4.0.bn3,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.84%,819200,0.191,7
107,layer4.0.relu,2048   7   7,2048   7   7,0,0.38,"100,352.00","100,352.00",401408,401408,0.00%,802816,0.191,7
108,layer4.0.downsample.0,1024  14  14,2048   7   7,2097152,0.38,"205,420,544.00","102,760,448.00",9191424,401408,3.36%,9592832,0.191,14
109,layer4.0.downsample.1,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.00%,819200,0.191,7
110,layer4.1.conv1,2048   7   7,512   7   7,1048576,0.1,"102,735,360.00","51,380,224.00",4595712,100352,2.52%,4696064,0.191,7
111,layer4.1.bn1,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
112,layer4.1.conv2,512   7   7,512   7   7,2359296,0.1,"231,185,920.00","115,605,504.00",9537536,100352,3.36%,9637888,0.096,7
113,layer4.1.bn2,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
114,layer4.1.conv3,512   7   7,2048   7   7,1048576,0.38,"102,660,096.00","51,380,224.00",4294656,401408,1.68%,4696064,0.096,7
115,layer4.1.bn3,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.00%,819200,0.191,7
116,layer4.1.relu,2048   7   7,2048   7   7,0,0.38,"100,352.00","100,352.00",401408,401408,0.00%,802816,0.191,7
117,layer4.2.conv1,2048   7   7,512   7   7,1048576,0.1,"102,735,360.00","51,380,224.00",4595712,100352,1.68%,4696064,0.191,7
118,layer4.2.bn1,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
119,layer4.2.conv2,512   7   7,512   7   7,2359296,0.1,"231,185,920.00","115,605,504.00",9537536,100352,3.36%,9637888,0.096,7
120,layer4.2.bn2,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
121,layer4.2.conv3,512   7   7,2048   7   7,1048576,0.38,"102,660,096.00","51,380,224.00",4294656,401408,1.68%,4696064,0.096,7
122,layer4.2.bn3,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.84%,819200,0.191,7
123,layer4.2.relu,2048   7   7,2048   7   7,0,0.38,"100,352.00","100,352.00",401408,401408,0.00%,802816,0.191,7
124,avgpool,2048   7   7,2048   1   1,0,0.01,0,0,0,0,0.00%,0,0.191,7
125,fc,2048,1000,2049000,0,"4,095,000.00","2,048,000.00",8204192,4000,0.84%,8208192,0.004,
total, , , ,25557032,109.69,"8,219,637,272.00","4,118,537,216.00",8204192,4000,100.00%,332849216,,
